Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-09-20,27.896666666666665,67.852,8.535,15.943333333333333,17.78,29.101999999999997,10.33,0.5216666666666666,20.463333333333335,1.27,1.09,0.5083333333333333,,0.5319999999999999,0.418,29.776666666666667,77.64666666666666,0.695,97.87666666666667,0.016,1.46,167.79166666666666,751.8166666666666,-0.06
2022-09-21,27.088333333333335,68.596,7.255,14.683333333333335,15.1,26.162,7.571666666666666,0.525,22.238333333333333,1.125,1.0933333333333333,0.545,,0.514,0.332,30.051666666666666,77.70166666666667,0.9616666666666666,95.72833333333334,0.0,0.16,150.92499999999998,751.855,-0.06
2022-09-22,37.86833333333333,82.936,7.321666666666666,14.755,15.041666666666666,26.224,6.98,0.605,24.05333333333333,1.5166666666666666,1.27,0.6433333333333333,,0.588,0.40199999999999997,30.80333333333333,73.81166666666667,0.6483333333333333,100.73166666666667,0.0,0.0,202.3116666666667,751.975,-0.06
2022-09-23,46.43,104.298,7.125,16.511666666666667,15.678333333333335,25.356,7.243333333333333,0.64,23.463333333333335,1.7116666666666667,1.175,0.5833333333333334,,0.612,0.462,30.948333333333334,72.95666666666666,0.44,100.81666666666666,0.0,0.0,164.555,751.94,-0.05
2022-09-24,44.81666666666666,97.10799999999999,11.676666666666668,17.773333333333333,18.381666666666668,24.946,8.336666666666668,0.775,21.286666666666665,1.8683333333333334,1.63,0.7833333333333333,,0.772,0.8300000000000001,29.043333333333333,84.63,0.30333333333333334,171.83166666666668,0.05800000000000001,5.5,82.41333333333334,751.8933333333333,-0.05
2022-09-25,48.93,118.38400000000001,10.780000000000001,18.62,18.156666666666666,25.204,8.56,0.8966666666666666,21.666666666666668,2.6333333333333333,1.751666666666667,0.8866666666666667,,1.008,1.144,29.150000000000002,83.30333333333333,0.20833333333333334,144.665,0.002,0.13999999999999999,110.79666666666667,752.1916666666666,-0.06
2022-09-26,50.12833333333333,104.76400000000001,8.951666666666666,18.488333333333333,16.355,25.854000000000003,7.698333333333333,0.7466666666666667,17.833333333333332,1.9433333333333334,1.6533333333333333,0.7083333333333334,,0.6799999999999999,0.736,28.959999999999997,83.75833333333334,0.225,157.83833333333334,0.05,4.62,117.66666666666667,752.3433333333332,-0.05
2022-09-27,39.53333333333333,90.81800000000001,10.703333333333333,17.233333333333334,17.06833333333333,26.064,7.203333333333333,0.8116666666666666,25.998333333333335,2.0966666666666667,1.5933333333333335,0.7716666666666666,,0.6519999999999999,0.712,29.30333333333333,81.345,0.22999999999999998,187.9466666666667,0.004,0.36,148.02833333333334,752.1716666666666,-0.06
2022-09-28,41.04666666666667,89.33,9.915000000000001,18.023333333333333,16.615,25.936,8.424999999999999,0.7766666666666667,27.93166666666667,1.585,1.4483333333333333,0.5933333333333334,,0.49000000000000005,0.5479999999999999,30.168333333333333,76.25166666666667,0.305,213.64166666666665,0.0,0.04,193.58833333333334,752.0600000000001,-0.05
2022-09-29,40.71333333333333,92.326,9.198333333333332,17.301666666666666,15.905000000000001,25.092,7.466666666666666,0.7283333333333334,22.554999999999996,2.0916666666666663,1.5533333333333335,1.7516666666666667,,0.618,0.606,29.226666666666663,80.75166666666667,0.2966666666666667,198.68666666666664,0.014000000000000002,1.28,119.02166666666666,752.04,-0.05
